Brand,Car Model,Price
Toyota,Etios V,"6,51,135"
Toyota,Etios GD Safety,"6,89,900"
Toyota,Etios VX,"6,97,000"
Toyota,Etios VD,"7,41,135"
Toyota,Etios VXD,"7,87,000"
ICML,Rhino Rx Winner Non AC 9 Seater BS III,"4,99,126"
ICML,Rhino Rx Winner with AC 9 Seater BS III,"5,09,126"
ICML,Rhino Rx Winner with AC 10 Seater BS III,"5,49,126"
ICML,Rhino Rx Winner CRDFi 10 Seater BS IV,"5,73,307"
ICML,Rhino Rx Xciter 9 Seater BS III,"5,75,556"
ICML,Rhino Rx Xciter 8 Seater BS III,"5,80,126"
ICML,Rhino Rx Winner CRDFi 9 Seater BS III,"5,84,126"
ICML,Rhino Rx Winner CRDFi 9 Seater BS IV with PS,"6,07,682"
ICML,Rhino Rx Xciter CRDFi 9 Seater BS III,"6,10,556"
ICML,Rhino Rx Xciter CRDFi 8 Seater BS III,"6,15,126"
ICML,Rhino Rx Xciter CRDFi 9 Seater BS IV,"6,30,126"
ICML,Rhino Rx Xciter CRDFi 8 Seater BS IV,"6,34,586"
ICML,Rhino Rx Royale CRDFi 8 Seater BS III,"6,55,126"
ICML,Rhino Rx Delite CRDFi 7 Seater BS III,"6,75,126"
ICML,Rhino Rx Royale CRDFi 8 Seater BS IV,"6,78,682"
ICML,Rhino Rx Delite CRDFi 7 Seater BS IV,"7,00,126"
Maruti,Gypsy King Hard Top Ambulance BS III,"4,99,386"
Maruti,Gypsy King Hard Top Ambulance BSIV,"5,15,032"
Maruti,Gypsy King Soft Top,"5,28,018"
Maruti,Gypsy King Soft Top MPI BSIV,"5,44,402"
Maruti,Gypsy King Hard Top,"5,46,856"
Maruti,Gypsy King Hard Top MPI BSIV,"5,63,240"
Hyundai,Accent Executive,"5,02,869"
Hyundai,Accent Executive LPG,"5,39,676"
Tata,Sumo Victa CX 10/7 Str BSII,"5,30,793"
Tata,Sumo Victa CX 10/7 Str BSIII,"5,49,079"
Tata,Manza Aqua Safire BS IV,"5,39,129"
Tata,Manza Aura Safire BS IV,"5,74,703"
Tata,Manza Aqua Quadrajet,"5,90,737"
Tata,Manza Aura (ABS) Safire BS IV,"6,08,311"
Tata,Manza Aqua Quadrajet BS IV,"6,16,397"
Tata,Manza Aura Quadrajet,"6,34,422"
Tata,Manza Aura Quadrajet BS IV,"6,60,081"
Tata,Manza Aura (ABS) Quadrajet,"6,77,518"
Tata,Manza ELAN Safire BS IV,"6,83,299"
Tata,Manza ELAN Quadrajet BS III,"7,00,753"
Tata,Manza Aura (ABS) Quadrajet BS IV,"7,03,740"
Tata,Manza ELAN Quadrajet BS IV,"7,67,725"
Ford,Fiesta Classic 1.6 Duratec LXI,"5,49,030"
Ford,Fiesta Classic 1.6 Duratec CLXI,"6,03,000"
Ford,Fiesta Classic 1.4 Duratorq LXI,"6,57,000"
Ford,Fiesta Classic 1.4 Duratorq CLXI,"6,98,000"
Ford,Fiesta Classic 1.6 SXI Duratec,"7,29,000"
Ford,Fiesta Classic 1.4 SXI Duratorq,"8,19,000"
Tata,Indigo XL Classic Petrol,"5,49,113"
Tata,Indigo XL Grand Dicor,"5,62,089"
Tata,Indigo XL Classic Dicor,"5,80,525"
Tata,Indigo XL Grand Petrol,"6,86,012"
Honda,Jazz Basic,"5,50,000"
Honda,Jazz Select Edition,"5,75,000"
Honda,Jazz X,"6,06,000"
Tata,Sumo Victa LX 10/7 Str BSII,"5,62,793"
Tata,Sumo Victa LX 10/7 Str BSIII,"5,78,189"
Nissan,Sunny XE,"5,78,000"
Nissan,Sunny XL,"6,88,000"
Nissan,Sunny XV,"7,68,000"
Tata,Sumo Grande MKII Turbo 2.0 CX,"5,80,215"
Tata,Sumo Grande MKII Turbo 2.0 LX,"6,11,906"
Tata,Sumo Grande MKII CX,"6,42,045"
Tata,Sumo Grande MKII CX BS IV,"6,52,045"
Tata,Sumo Grande MKII LX,"6,60,696"
Tata,Sumo Grande MKII Turbo 2.0 EX,"6,91,636"
Tata,Sumo Grande MKII EX,"7,00,959"
Tata,Sumo Grande MKII LX BS IV,"7,30,463"
